image,portraits,protests
FL4364453,8.079723556875251e-06,0.9999918937683105
FL4364454,3.8095058130238613e-07,0.9999996423721313
FL4364455,7.663430551474448e-06,0.9999923706054688
FL4364460,0.002733222208917141,0.9972667694091797
FL4364462,9.417774435860338e-07,0.9999990463256836
FL4364463,0.0008553079096600413,0.9991446733474731
FL4364507,5.4434258345281705e-05,0.9999455213546753
FL4364509,9.469180213272921e-07,0.9999990463256836
FL4364513,4.878431718680076e-05,0.9999512434005737
FL4364517,5.1620794693008065e-05,0.9999483823776245
FL4364519,0.006321771536022425,0.9936782717704773
FL4364520,1.7664127938132879e-07,0.9999998807907104
FL4364521,0.0011842009844258428,0.9988157749176025
FL4364523,1.8720264051808044e-05,0.9999812841415405
FL4364526,0.000133817273308523,0.9998661279678345
FL4364529,2.14841293200152e-05,0.9999785423278809
FL4364532,6.367138212226564e-07,0.9999994039535522
FL4364534,3.0279707061708905e-06,0.9999970197677612
FL4364535,0.00048738467739894986,0.9995126724243164
FL4364537,1.003815032163402e-05,0.9999899864196777
FL4364538,0.00018926266056951135,0.9998107552528381
FL4364540,0.1584433764219284,0.8415566682815552
FL4364541,0.000246057054027915,0.9997538924217224
FL4364543,0.003432057797908783,0.996567964553833
FL4364545,1.7836794086178998e-07,0.9999998807907104
FL4364547,1.74137835529109e-06,0.9999982118606567
FL4364550,0.0003389398625586182,0.9996610879898071
FL4364554,0.9999982118606567,1.7504777360954904e-06
FL4364555,0.9987373948097229,0.0012625890085473657
FL4364557,0.057206135243177414,0.9427938461303711
FL4364561,0.6863941550254822,0.3136058449745178
FL4364563,0.7038964033126831,0.2961035370826721
FL4364565,0.9999737739562988,2.6176632673013955e-05
FL4364567,2.327157199033536e-05,0.9999767541885376
FL4364569,0.9229357242584229,0.07706426829099655
FL4364571,0.8795226216316223,0.12047741562128067
FL4364572,0.9976450800895691,0.0023549182806164026
FL4364575,0.9832547307014465,0.016745340079069138
FL4364580,0.9991468191146851,0.0008532110950909555
FL4364582,0.006744280457496643,0.9932557344436646
FL4364583,0.0004206423764117062,0.9995793700218201
FL4364584,0.9954923391342163,0.0045076091773808
FL4364585,4.468434326554416e-06,0.9999955892562866
FL4364586,4.186010755802272e-07,0.9999995231628418
FL4364587,0.3079472482204437,0.6920527219772339
FL4364588,1.5945058606803286e-08,1.0
FL4364589,2.15847535400826e-06,0.9999978542327881
FL4364590,0.7736617922782898,0.2263382077217102
FL4364591,3.166426040479564e-06,0.9999967813491821
FL4364592,0.009807048365473747,0.9901930093765259
FL4364593,0.9460923075675964,0.053907714784145355
FL4364594,0.998970627784729,0.0010294208768755198
FL4364595,0.326386421918869,0.6736135482788086
FL4364596,0.0005639679147861898,0.9994359612464905
FL4364597,2.5436684154556133e-06,0.9999974966049194
FL4364598,0.008428972214460373,0.9915710687637329
FL4364599,0.03528084605932236,0.9647191166877747
FL4364600,0.00017868774011731148,0.9998213648796082
FL4364601,0.8144341111183167,0.18556584417819977
FL4364602,2.9509655519177613e-07,0.9999997615814209
FL4364603,1.0,5.027183114236777e-09
FL4364604,0.0008530167979188263,0.9991469383239746
FL4364605,0.8678171038627625,0.13218297064304352
FL4364606,3.969347744714469e-06,0.9999960660934448
FL4364607,0.0017940385732799768,0.9982059001922607
FL4364608,0.01132132951170206,0.9886786341667175
FL4364609,0.940412163734436,0.05958787724375725
FL4364610,0.7950595617294312,0.20494046807289124
FL4364611,3.2145421755558345e-06,0.9999967813491821
FL4364612,4.160685662668584e-08,1.0
FL4364613,0.00032196129905059934,0.9996780157089233
FL4364614,0.0002671492111403495,0.9997327923774719
FL4364661,1.0,2.4128785636179373e-09
FL4364662,1.0,6.00117422422386e-09
FL4364663,1.0,7.739343055312986e-10
FL4364664,1.0,1.534978188999503e-08
FL4364665,1.0,5.332006502989373e-10
FL4364666,1.0,3.504213308413995e-10
FL4364667,1.0,3.381895874454699e-09
FL4364668,1.0,7.463626161552384e-09
FL4364669,0.9995168447494507,0.0004831354017369449
FL4364670,0.9999929666519165,7.075187568261754e-06
FL4364671,0.9999996423721313,3.037370959191321e-07
FL4364672,0.999763548374176,0.00023647445777896792
FL4364673,0.9936444759368896,0.006355565041303635
FL4364674,0.9999971389770508,2.8834911063313484e-06
FL4364675,0.9988552331924438,0.0011447808938100934
FL4364676,0.7801769971847534,0.21982300281524658
FL4364677,0.9933565258979797,0.0066434056498110294
FL4364678,2.402243293175843e-09,1.0
FL4364679,0.16544993221759796,0.8345500826835632
FL4364680,0.9901480078697205,0.009852000512182713
FL4364681,0.06622254103422165,0.9337775111198425
FL4364774,0.5092261433601379,0.4907738268375397
FL4364775,0.9994354844093323,0.0005644637858495116
FL4364776,0.9777638912200928,0.022236086428165436
FL4364777,0.9144286513328552,0.08557132631540298
FL4364779,0.7773948311805725,0.22260518372058868
FL4364780,0.9608844518661499,0.03911547735333443
FL4364781,0.9999996423721313,3.788391325088014e-07
FL4364782,0.9999997615814209,2.0253642674106231e-07
FL4364783,2.8927011896939803e-08,1.0
FL4364784,1.0173829140258661e-10,1.0
FL4364786,5.581692746892131e-11,1.0
FL4364787,0.9998776912689209,0.00012227983097545803
FL4364789,0.010704279877245426,0.9892956614494324
FL4364790,0.9909446239471436,0.00905534066259861
FL4364793,0.001409737509675324,0.9985902905464172
FL4364794,0.3423352539539337,0.6576647162437439
FL4364796,2.7982932806480676e-06,0.9999972581863403
FL4364797,0.30278491973876953,0.6972150802612305
FL4364799,0.005750088486820459,0.9942499399185181
